DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	simple bar testing
LEGEND_TITLE	Example legend title
LEGEND_SHAPES	1	1	2	2
LEGEND_COLORS	#ff0000	#00ff00	#00ffff	#0000ff
LEGEND_LABELS	value1	value2	value3	value4
COLOR	#ffff00
WIDTH	1000
MARGIN	0
HEIGHT_FACTOR	1
BAR_SHIFT	0
BAR_ZERO	0

DATA
bin20	239.446770340847
bin22	182.435634545407
bin30	11.4022271590879
bin31	34.2066814772638
bin36	2440.07661204482
bin47	3648.71269090814
bin48	2314.65211329485
bin52	91.2178172727035
bin53	946.384854204299
bin58	4093.39955011257
bin62	136.826725909055
bin67	695.535856704364
bin68	34.2066814772638
bin73	102.620044431791
bin80	0
bin82	79.8155901136156
bin85	387.67572340899
bin91	923.580399886123
bin93	547.306903636221
bin94	102.620044431791
bin96	752.546992499804
bin97	2987.38351568104
bin98	900.775945567947
bin104	5678.30912522579
bin107	342.066814772638
bin112	171.033407386319
bin114	57.0111357954397
bin119	364.871269090814
bin123	11.4022271590879
bin129	2793.54565397654
bin130	1653.32293806775
bin131	3477.67928352182
bin147	239.446770340847
bin151	148.228953068143
bin163	34.2066814772638
bin167	0
bin168	57.0111357954397
bin170	68.4133629545276
bin174	34.2066814772638
bin179	125.424498749967
bin181	262.251224659023
bin200	3261.03696749915
bin205	2063.80311579492
bin213	11.4022271590879
bin217	923.580399886123
bin241	45.6089086363517
bin246	399.077950568078
bin247	444.68685920443
bin248	91.2178172727035
bin249	57.0111357954397
bin251	228.044543181759
bin252	1653.32293806775
bin257	330.66458761355
bin258	4230.22627602162
bin259	957.787081363387
bin260	421.882404886254
bin269	729.742538181628
bin274	239.446770340847
bin285	752.546992499804
bin289	2029.59643431765
bin290	376.273496249902
bin291	2542.69665647661
bin298	535.904676477133
bin299	239.446770340847
bin355	34.2066814772638
bin356	2405.86993056755
bin357	353.469041931726
bin382	148.228953068143
bin384	661.3291752271
bin392	171.033407386319
bin400	68.4133629545276
bin402	399.077950568078
bin404	57.0111357954397
bin405	11.4022271590879
bin406	57.0111357954397
bin418	4526.68418215791
bin422	68.4133629545276
bin423	1106.01603443153
bin426	319.262360454462
bin427	296.457906136286
bin430	159.631180227231
bin431	91.2178172727035
bin433	0
bin437	1037.602671477
bin440	5404.65567340768
bin441	1049.00489863609
bin445	102.620044431791
bin446	57.0111357954397
bin451	91.2178172727035
bin457	752.546992499804
bin458	604.318039431661
bin459	262.251224659023
bin467	296.457906136286
bin468	672.731402386188
bin469	627.122493749837
bin473	1356.86503193146
bin474	296.457906136286
bin475	68.4133629545276
bin476	11.4022271590879
bin477	68.4133629545276
bin478	193.837861704495
bin480	1128.82048874971
bin481	0
bin482	22.8044543181759
bin486	34.2066814772638
bin494	57.0111357954397
bin508	786.753673977068
bin534	159.631180227231
bin536	330.66458761355
bin537	79.8155901136156
bin540	45.6089086363517
bin557	285.055678977198
bin565	159.631180227231
bin567	22.8044543181759
bin568	91.2178172727035
bin570	45.6089086363517
bin572	68.4133629545276
bin573	672.731402386188
bin577	125.424498749967
bin579	444.68685920443
bin580	798.155901136156
bin581	182.435634545407
bin582	239.446770340847
bin583	250.848997499935
bin588	273.65345181811
bin590	855.167036931595
bin594	57.0111357954397
bin596	11.4022271590879
bin597	22.8044543181759
bin598	91.2178172727035
bin599	22.8044543181759
bin605	91.2178172727035
bin606	34.2066814772638
bin607	22.8044543181759
bin608	296.457906136286
bin618	114.022271590879
bin620	68.4133629545276
bin621	11.4022271590879
bin622	45.6089086363517
bin623	22.8044543181759
bin625	239.446770340847
bin628	45.6089086363517
bin630	205.240088863583
bin631	535.904676477133
bin632	1448.08284920417
bin682	68.4133629545276
bin683	91.2178172727035
bin691	68.4133629545276
bin692	45.6089086363517
bin715	182.435634545407
bin732	342.066814772638
bin738	171.033407386319
bin739	114.022271590879
bin743	182.435634545407
