DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	simple bar testing
LEGEND_TITLE	Example legend title
LEGEND_SHAPES	1	1	2	2
LEGEND_COLORS	#ff0000	#00ff00	#00ffff	#0000ff
LEGEND_LABELS	value1	value2	value3	value4
COLOR	#ffff00
WIDTH	1000
MARGIN	0
HEIGHT_FACTOR	1
BAR_SHIFT	0
BAR_ZERO	0

DATA
bin20	0.173759661154861
bin22	0.347519322309723
bin30	88.2699078666696
bin31	26.0639491732292
bin36	580.531027918392
bin47	576.708315372985
bin48	270.717552079274
bin52	230.926589674811
bin53	255.426701897646
bin58	898.337448170634
bin62	0
bin67	1.56383695039375
bin68	141.614123841212
bin73	450.037522391091
bin80	1.39007728923889
bin82	0
bin85	3.99647220656181
bin91	0
bin93	0.521278983464584
bin94	1.04255796692917
bin96	0.173759661154861
bin97	0.173759661154861
bin98	1.39007728923889
bin104	0.347519322309723
bin107	0.173759661154861
bin112	0
bin114	0.695038644619446
bin119	332.575991450405
bin123	124.933196370345
bin129	167.330553692132
bin130	102.518200081368
bin131	111.206183139111
bin147	1.04255796692917
bin151	1.56383695039375
bin163	529.098168216553
bin167	247.259997823368
bin168	619.105672694771
bin170	872.273498997405
bin174	1375.48147770188
bin179	207.642795080059
bin181	123.543119081106
bin200	3507.33876041088
bin205	3381.3630060736
bin213	321.107853814184
bin217	1113.97318766382
bin241	792.170295205013
bin246	0.173759661154861
bin247	11.9894166196854
bin248	0.173759661154861
bin249	0
bin251	0
bin252	1.56383695039375
bin257	5.38654949580071
bin258	9.9043006858271
bin259	3.99647220656181
bin260	0.868798305774307
bin269	3.12767390078751
bin274	1.56383695039375
bin285	2.78015457847778
bin289	22.2412366278223
bin290	213.898142881634
bin291	16962.2443622764
bin298	15154.1013282989
bin299	5105.58012371329
bin355	2506.13559283657
bin356	36245.7440379206
bin357	10975.3552371857
bin382	4527.13421172876
bin384	550.470606538601
bin392	4492.90355848125
bin400	0
bin402	5088.37791725896
bin404	299.214136508671
bin405	335.703665351192
bin406	179.841249295282
bin418	0.173759661154861
bin422	0.695038644619446
bin423	1.39007728923889
bin426	0.173759661154861
bin427	1.21631762808403
bin430	1890.50511336489
bin431	307.207080921795
bin433	139.007728923889
bin437	0.347519322309723
bin440	0.347519322309723
bin441	0.695038644619446
bin445	5901.2256121414
bin446	1549.4148985179
bin451	0.173759661154861
bin457	0
bin458	0
bin459	1.21631762808403
bin467	0.695038644619446
bin468	0
bin469	1.04255796692917
bin473	494.519995646736
bin474	162.63904284095
bin475	192.699464220741
bin476	186.965395402631
bin477	219.979731022055
bin478	206.426477451975
bin480	3253.82341478594
bin481	141.266604518902
bin482	99.9118051640453
bin486	190.961867609193
bin494	200.51864897271
bin508	4676.39376066079
bin534	228.493954418643
bin536	142.830441469296
bin537	205.731438807356
bin540	682.701708677451
bin557	4374.39946957364
bin565	388.87412166458
bin567	492.261120051723
bin568	359.334979268254
bin570	547.169172976659
bin572	229.536512385572
bin573	11465.0099623201
bin577	1475.39328286593
bin579	4157.54741245237
bin580	300.777973459065
bin581	227.103877129404
bin582	395.65074844962
bin583	268.806195806571
bin588	3680.57714258228
bin590	14397.0304846472
bin594	196.348417104993
bin596	415.459349821274
bin597	317.111381607622
bin598	525.275455671146
bin599	323.192969748042
bin605	285.660882938592
bin606	224.845001534391
bin607	364.721528764054
bin608	393.739392176916
bin618	2197.53843462553
bin620	475.406432919701
bin621	283.228247682424
bin622	234.923061881373
bin623	179.493729972972
bin625	1352.54520242944
bin628	754.638208395563
bin630	1863.74612554704
bin631	6237.45055647606
bin632	14380.5233168375
bin682	579.140950629153
bin683	608.33257370317
bin691	260.465732071137
bin692	400.168499639646
bin715	1439.77255232918
bin732	5730.59362488733
bin738	1709.79506576384
bin739	2228.64141397225
bin743	1754.45129868064
bin745	6388.79522134195
bin746	13445.5225801632
bin747	932.568101418142
