DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	simple bar testing
LEGEND_TITLE	Example legend title
LEGEND_SHAPES	1	1	2	2
LEGEND_COLORS	#ff0000	#00ff00	#00ffff	#0000ff
LEGEND_LABELS	value1	value2	value3	value4
COLOR	#ffff00
WIDTH	1000
MARGIN	0
HEIGHT_FACTOR	1
BAR_SHIFT	0
BAR_ZERO	0

DATA
bin20	319575.627376745
bin22	212257.642202008
bin30	21.7198917576882
bin31	0
bin36	749.336265640243
bin47	3008.20500843981
bin48	847.075778549839
bin52	76.0196211519087
bin53	238.91880933457
bin58	1009.9749667325
bin62	195761.384412044
bin67	184.61907994035
bin68	65.1596752730646
bin73	32.5798376365323
bin80	51258.9445481441
bin82	90452.4892248925
bin85	425199.460994383
bin91	146804.748390214
bin93	368879.781666697
bin94	94079.7111484264
bin96	426665.553688027
bin97	1840435.02808771
bin98	447972.767502319
bin104	3075938.49088617
bin107	156502.680060022
bin112	115506.384367386
bin114	93547.573800363
bin119	97.7395129095969
bin123	0
bin129	3431.74289771473
bin130	1813.61096176696
bin131	1314.05345134014
bin147	270477.812058491
bin151	154873.688178196
bin163	43.4397835153764
bin167	0
bin168	10.8599458788441
bin170	238.91880933457
bin174	2562.94722740721
bin179	43.4397835153764
bin181	238.91880933457
bin200	2313.16847219379
bin205	2117.6894463746
bin213	10.8599458788441
bin217	401.817997517232
bin241	10.8599458788441
bin246	359073.250538101
bin247	406770.132837984
bin248	100139.560948821
bin249	109229.335649414
bin251	264439.682149854
bin252	1682813.77360217
bin257	324962.160532652
bin258	4022860.6118461
bin259	1020595.99380201
bin260	430640.293879684
bin269	628932.045681498
bin274	276667.981209432
bin285	736217.451018599
bin289	1465614.85602528
bin290	336.658322244167
bin291	1411.79296424973
bin298	314.938430486479
bin299	152.039242303817
bin355	65.1596752730646
bin356	1737.59134061506
bin357	3464.32273535127
bin382	97.7395129095969
bin384	532.137348063361
bin392	54.2997293942205
bin400	133837.973010875
bin402	282.358592849946
bin404	10.8599458788441
bin405	0
bin406	0
bin418	3691903.76118832
bin422	76475.7388788201
bin423	841472.046476356
bin426	231012.768734772
bin427	248464.701762074
bin430	119.459404667285
bin431	106438.329558551
bin433	553.857239821049
bin437	1325706.17326814
bin440	4765431.13120382
bin441	1076079.45729703
bin445	21.7198917576882
bin446	10.8599458788441
bin451	89051.5562065216
bin457	695427.494297661
bin458	268186.363478055
bin459	205491.895919488
bin467	146229.171258636
bin468	76.0196211519087
bin469	586513.097078733
bin473	43.4397835153764
bin474	445.257781032608
bin475	32.5798376365323
bin476	32.5798376365323
bin477	32.5798376365323
bin478	21.7198917576882
bin480	2161.12922988998
bin481	21.7198917576882
bin482	10.8599458788441
bin486	10.8599458788441
bin494	0
bin508	380.098105759543
bin534	141.179296424973
bin536	260.638701092258
bin537	10.8599458788441
bin540	43.4397835153764
bin557	130.319350546129
bin565	597.297023336425
bin567	21.7198917576882
bin568	43.4397835153764
bin570	0
bin572	43.4397835153764
bin573	195.479025819194
bin577	76.0196211519087
bin579	184.61907994035
bin580	673.316644488334
bin581	86.8795670307528
bin582	173.759134061506
bin583	130.319350546129
bin588	86.8795670307528
bin590	325.798376365323
bin594	32.5798376365323
bin596	21.7198917576882
bin597	10.8599458788441
bin598	43.4397835153764
bin599	0
bin605	54.2997293942205
bin606	10.8599458788441
bin607	10.8599458788441
bin608	141.179296424973
bin618	119.459404667285
bin620	0
bin621	0
bin622	43.4397835153764
bin623	0
bin625	76.0196211519087
bin628	43.4397835153764
bin630	54.2997293942205
bin631	488.697564547984
bin632	542.997293942205
bin682	10.8599458788441
bin683	32.5798376365323
bin691	32.5798376365323
bin692	32.5798376365323
bin715	21.7198917576882
bin732	108.599458788441
bin738	152.039242303817
bin739	54.2997293942205
bin743	21.7198917576882
bin745	901.37550794406
bin746	369.238159880699
bin747	358.378214001855
